Machine_ID,Operating_Hours,Temperature,Vibration,Pressure,Maintenance_Required,Failure,Machine_ID_Encoded
Machine_1,960,40.35850652946082,2.1064870539961893,120.79229979526256,0,0,0
Machine_2,3872,21.031797583162035,1.698289969809769,129.89873693033385,0,0,1111
Machine_3,3192,63.22395254091997,9.360134314741094,135.669893174516,0,1,2222
Machine_4,566,88.09205883407854,6.247025124903191,102.819771469648,1,0,3333
Machine_5,4526,96.61053170180703,6.765155552183551,133.28742712657015,1,0,4444
Machine_6,3544,65.25959604906313,4.317039868166956,31.84979501380892,0,0,4556
Machine_7,3271,61.156906219191534,9.13531847319121,42.86829621234283,0,1,4667
Machine_8,3019,26.80451083913929,6.560339651006822,41.109128046251854,0,0,4778
Machine_9,230,63.90982412340798,7.807113760474081,115.51256211056796,0,0,4889
Machine_10,1785,50.39832631723157,4.001343455763282,38.349814025229485,0,0,1
Machine_11,869,68.57082247068615,9.620112867781693,89.56372469595684,0,0,112
Machine_12,2491,51.09810783012374,8.294382256503994,86.72482783635469,0,0,223
Machine_13,2533,39.22392987602934,8.612510398638165,67.28442282698892,0,0,334
Machine_14,1284,27.59722201827012,2.1358455405446657,134.44862039305198,0,0,445
Machine_15,4655,45.19347556711166,3.074150474776585,50.45198422559952,0,0,556
Machine_16,3485,27.73158674302018,3.2134526969939823,72.29553412790878,0,0,667
Machine_17,4217,34.15175606591872,3.0736376208452763,122.9005800027515,0,0,778
Machine_18,4943,98.98689268636367,8.626377539990735,33.65067772719411,1,1,889
Machine_19,3004,55.52828455252949,0.802905554481625,110.75404802956425,0,0,1000
Machine_20,574,62.54974132040133,1.222949895317356,127.96772716338847,0,0,1112
Machine_21,1182,89.88948229897723,3.1021912709840853,141.87214066058007,1,0,1223
Machine_22,2658,99.64551203925502,2.3987932591697145,135.1555968589782,1,0,1334
Machine_23,2147,66.61715594757453,2.7026663318870594,68.32609402004222,0,0,1445
Machine_24,2847,84.99790568353373,8.080460297906349,100.3636969587543,1,0,1556
Machine_25,1075,46.155281946934025,5.849702641974446,39.27521917805591,0,0,1667
Machine_26,1906,44.459516595783285,0.5548212822831959,60.94440042576103,0,0,1778
Machine_27,289,52.21629767956482,4.578566274189855,41.306685449700886,0,0,1889
Machine_28,2834,73.80058101389193,4.37490680507841,67.82247481847565,0,0,2000
Machine_29,3105,74.5753351404079,1.5824800597231636,135.02246561504748,0,0,2111
Machine_30,4758,45.21915477195606,6.923346991713843,71.66002076091512,0,0,2223
Machine_31,1999,30.65679393093029,7.1699232896051655,97.42777236017116,0,0,2334
Machine_32,1367,70.59170051724068,7.348485580994928,82.00570177379291,0,0,2445
Machine_33,1628,30.266068975101163,7.420473982806625,85.06998291584824,0,0,2556
Machine_34,3302,66.2794006583464,0.5005018558568196,146.348646220387,0,0,2667
Machine_35,3656,75.47377024450472,9.56224763654386,65.53853619166296,0,1,2778
Machine_36,3990,76.04891971155612,8.234983287019299,105.27893634278055,0,1,2889
Machine_37,746,80.27776885276774,9.08782611759821,80.40752034953366,1,0,3000
Machine_38,2988,89.82875372525316,0.6486113054206243,37.337541725722346,1,0,3111
Machine_39,2535,59.99671935718308,9.371658559964525,88.71969979490831,0,0,3222
Machine_40,700,78.4199351623657,8.192991022536994,127.601199485413,0,0,3334
Machine_41,2463,69.53381882926693,8.453581858107636,41.8503562418026,0,0,3445
Machine_42,2161,34.93119518381461,1.3862301548587008,38.35102168755708,0,0,3556
Machine_43,341,22.055171589552653,7.518391274726678,48.435782447192,0,0,3667
Machine_44,2141,42.7633108541547,9.619208551599865,121.72801336671672,0,0,3778
Machine_45,2924,55.44269650700955,6.946199743472526,116.87944609736856,0,0,3889
Machine_46,2712,69.3684755542925,5.920333343933762,97.80213226873326,0,0,4000
Machine_47,1463,87.99674644025643,9.483481938615473,86.18716849111588,1,0,4111
Machine_48,1578,35.69965733649325,4.707902656477142,136.59909776431465,0,0,4222
Machine_49,2656,30.04398319187817,6.193288879949548,122.0037388600179,0,0,4333
Machine_50,875,97.0783957979462,5.025213788196479,127.43307015621664,1,0,4445
Machine_51,4114,28.643564750112567,9.36203910292284,127.59147616207852,0,1,4457
Machine_52,134,58.27928560857514,1.222804904272319,107.12605856946696,0,0,4468
Machine_53,3252,66.84509830346414,5.260637157840808,84.96175491791351,0,0,4479
Machine_54,2055,63.30995367259506,7.026048193161664,133.76133031027803,0,0,4490
Machine_55,1685,26.882572562635456,8.023112115011251,141.1208901123901,0,0,4501
Machine_56,4043,24.56215312028955,6.038677150719296,32.85672519100116,0,0,4512
Machine_57,3173,28.43867419688285,9.134718569153812,36.18658479195015,0,1,4523
Machine_58,1121,66.847014709809,9.448918745396782,145.04919562901247,0,0,4534
Machine_59,3561,63.54759101074569,1.1110326203390437,63.259273661303375,0,0,4545
Machine_60,2713,38.69926336293954,4.322520125643056,134.80433275793024,0,0,4557
Machine_61,3943,71.02193134764732,0.7228607063509671,76.65541427536832,0,0,4568
Machine_62,1600,85.60540016445195,3.629458245057208,44.29200691312268,1,0,4579
Machine_63,4898,23.3263167877275,5.6002480707207205,39.65318402512011,0,0,4590
Machine_64,261,59.85039548384339,9.152551839844516,48.780947889654776,0,0,4601
Machine_65,4397,75.14483296821523,8.542266063421327,59.98718338408376,0,1,4612
Machine_66,2081,40.184954165574965,1.7112474033838645,88.62220247169915,0,0,4623
Machine_67,1095,44.621672423451926,1.3837885600385091,114.17974806789402,0,0,4634
Machine_68,3442,69.0910322391507,6.098039718188337,148.36782917823598,0,0,4645
Machine_69,4651,91.83482347549896,5.555120738358435,82.98080919470053,1,0,4656
Machine_70,3898,84.79395362423195,3.0305875935852264,92.18219308117318,1,0,4668
Machine_71,1375,66.65041752796668,9.044804303261436,92.61788416599067,0,0,4679
Machine_72,1116,78.41773742057994,9.309980889884756,94.73212265855231,0,0,4690
Machine_73,437,49.18579761662389,4.324808664231545,92.12887885253548,0,0,4701
Machine_74,978,71.27724224790062,8.957874292578442,31.05297060743014,0,0,4712
Machine_75,1176,57.29452729020456,4.14751449549824,30.206978653180883,0,0,4723
Machine_76,4987,35.19489091660488,7.499759902382151,41.71995817513475,0,1,4734
Machine_77,4093,76.13906191018057,5.02145106670338,42.18679241150146,0,0,4745
Machine_78,4959,64.51717098790576,1.6645399868182384,114.58762907457552,0,0,4756
Machine_79,479,48.68972655628731,9.315374911751704,54.58992390191997,0,0,4767
Machine_80,592,92.90713520629046,4.813917637086598,137.36569257067356,1,0,4779
Machine_81,2162,21.67472942613866,7.477626883062834,141.43275954924235,0,0,4790
Machine_82,3984,45.26185209995968,3.9881512370972754,147.10720054750783,0,0,4801
Machine_83,164,24.550511822211725,0.6793683464742293,142.6897565864424,0,0,4812
Machine_84,2668,81.32218529773017,1.4550384075724412,62.62659863022296,1,0,4823
Machine_85,2127,76.16859632910341,5.214085055154282,91.1732213644215,0,0,4834
Machine_86,2795,46.50817749890536,7.054661392700443,51.05459642363292,0,0,4845
Machine_87,1595,74.05303217656584,3.679985602503151,126.74515862069198,0,0,4856
Machine_88,491,51.67497809567599,7.107140362187678,136.6118046172915,0,0,4867
Machine_89,4614,80.50030331379475,7.137038099603583,132.15466071570177,1,1,4878
Machine_90,4574,56.33469301893648,7.187391119614393,82.00403384362019,0,1,4890
Machine_91,3661,52.98237822653324,5.17895761319483,121.04086616241372,0,0,4901
Machine_92,2378,94.77839323906409,9.191418426154288,41.709500349152336,1,0,4912
Machine_93,3199,40.07032799125602,5.147366920815848,34.829372474310084,0,0,4923
Machine_94,300,29.63578719972524,4.777519338218063,120.3883697170513,0,0,4934
Machine_95,4975,66.76344906075666,2.3941177806009564,81.04263291944204,0,0,4945
Machine_96,3204,97.5457449827343,3.422723329885197,149.4659117687483,1,0,4956
Machine_97,4698,50.227137098174936,0.9021776789238818,41.67050590266389,0,0,4967
Machine_98,2554,24.96294109030252,6.518585289353617,132.67532178422806,0,0,4978
Machine_99,3745,47.144421384765394,2.861089567307382,87.597967863479,0,0,4989
Machine_100,904,60.47453234556468,3.3894749176119183,129.25802346046524,0,0,2
Machine_101,2831,32.9538405305771,7.822737955811052,128.0552738604174,0,0,13
Machine_102,2873,72.64817744451936,3.608601240033812,139.91904016344927,0,0,24
Machine_103,1670,99.81995112081604,2.8008609741248507,65.74200135433233,1,0,35
Machine_104,2790,56.13915807851551,2.1060486167702046,143.97592241544038,0,0,46
Machine_105,3940,48.37828453841701,7.861154820728581,48.20003524291444,0,1,57
Machine_106,1128,52.05633334675733,1.7322094509052557,39.83625331121886,0,0,68
Machine_107,602,29.21169427161609,4.810660722378358,81.7938620846819,0,0,79
Machine_108,4593,90.6618881140979,5.315836102733347,129.39875623702113,1,0,90
Machine_109,970,53.18605244170816,7.030204170514288,86.81053567601347,0,0,101
Machine_110,4588,50.98195291398731,6.516193082163457,129.51440130366169,0,0,113
Machine_111,306,72.77522183443794,8.20184639297916,117.56241669531664,0,0,124
Machine_112,1584,55.36267367448988,0.9251386222992624,55.13140633667203,0,0,135
Machine_113,963,71.85867750462768,3.316186885404273,143.86579498793566,0,0,146
Machine_114,2890,24.915703210463,3.161274128366108,37.29374023552841,0,0,157
